contig	length	n_frags	cumul_length
ctg3660	132880	1112	0
ctg18835	37127	251	1112
ctg32072	31730	182	1363
ctg44079	30033	216	1545
ctg51743	3776	15	1761
ctg73776	213732	1200	1776
ctg76609	115933	752	2976
ctg107241	8546	46	3728
ctg117863	34884	246	3774
ctg131663	14410	87	4020
ctg145920	42228	198	4107
ctg157592	37014	244	4305
ctg161499	31004	224	4549
ctg167405	2606	10	4773
ctg175075	10436	40	4783
ctg178695	45077	274	4823
ctg180036	259799	1659	5097
ctg185703	9002	88	6756
ctg189488	11302	76	6844
ctg197390	9050	43	6920
ctg199140	68509	436	6963
ctg200381	158489	958	7399
ctg203063	14599	82	8357
ctg204258	5244	41	8439
ctg226754	83447	455	8480
ctg235455	327730	2077	8935
ctg235935	34411	214	11012
ctg237088	10284	53	11226
ctg257592	98836	616	11279
ctg257779	174570	970	11895
ctg262871	55470	312	12865
ctg275125	11608	47	13177
ctg294868	10742	74	13224
ctg305534	32083	223	13298
ctg314337	314113	1951	13521
ctg333699	142775	933	15472
ctg335631	30553	181	16405
ctg339845	19867	88	16586
ctg345413	8781	64	16674
ctg361649	6021	45	16738
ctg361909	3495	23	16783
ctg362855	377077	2379	16806
ctg363108	366009	2375	19185
ctg363374	464717	2806	21560
ctg363600	589172	3694	24366
ctg363841	544131	3458	28060
ctg363907	729780	4517	31518
ctg364004	624293	3971	36035
ctg364053	705199	4247	40006
ctg364082	661896	4263	44253
ctg364275	1011647	6317	48516
ctg364352	875588	5435	54833
ctg364367	47856	298	60268
ctg364375	334322	2240	60566
ctg364416	689440	4333	62806
ctg364453	984324	6112	67139
ctg364501	1114881	6806	73251
ctg364766	980049	6097	80057
ctg364795	1401494	8590	86154
